BDCODTPLA,PLANO DE CONTAS,NUMERO CONTA,NOME CONTA,PARÂMETRO DA SIMULAÇÃO CORRESPONDENTE
167,167,01.1.2.04,APLICAÇÕES FINANCEIRAS DE RENDA FIXA,Receita Total
191,191,01.1.2.05,APLICAÇÕES FINANCEIRAS DE RENDA VARIÁVEL,Receita Total
388,388,01.1.2.08.006,PIS a Recuperar,
396,396,01.1.2.08.007,COFINS a Recuperar,
434,434,01.1.2.10.001,Estoque de Mercadoria Para Revenda,Receita Mercadorias
507,507,01.1.2.11.002,Provisão P/ Créditos de Liquidação Duvidosa,
566,566,01.1.3,DESPESAS DO EXERCÍCIO SEGUINTE,Despesas Operacionais
728,728,01.2.1.02.002,PIS sobre receitas operacionais,Receita Total
744,744,01.2.1.03.001,Adicionais conversíveis créditos Eletrobrás,
752,752,01.2.1.03.002,Créditos Eletrobrás,
760,760,01.2.1.03.003,Juros sobre créditos Eletrobrás a receber,
100016,100016,01.1.2.03,CARTÕES DE CRÉDITO,
100020,100020,04.1.1.01.002,Compra de Mercadoria para Revenda,Receita Mercadorias
1384,1384,02.1.3.04.001,INSS a pagar,
1430,1430,02.1.3.05.005,Provisão INSS 13º,Folha Total
1457,1457,02.1.3.05.006,Provisão INSS férias,Folha Total
1600,1600,02.1.4.03.002,COFINS a Pagar,
1619,1619,02.1.4.03.003,PIS a Pagar,
2089,2089,03,RECEITAS,Receita Total
2097,2097,03.1,RECEITAS OPERACIONAIS,Receita Total
2100,2100,03.1.1,RECEITA BRUTA COM VENDAS E SERVIÇOS,Receita serviços
2119,2119,03.1.1.01,RECEITA COM VENDAS NO PAÍS,Receita Total
2127,2127,03.1.1.01.001,Vendas Produtos Fabricação Própria a Vista,Receita Mercadorias
2135,2135,03.1.1.01.002,Vendas Produtos Fabricação Própria a Prazo,Receita Mercadorias
2143,2143,03.1.1.01.003,Revenda de Mercadorias a Vista,Receita Mercadorias
2151,2151,03.1.1.01.004,Revenda de Mercadorias a Prazo,Receita Mercadorias
2160,2160,03.1.1.03,RECEITAS COM SERVIÇOS,Receita serviços
2194,2194,03.1.2,DEDUÇÕES DAS RECEITAS C/VENDAS E SERVIÇO,Receita serviços
2216,2216,03.1.2.01.001,Devoluções de Vendas,Receita Total
2232,2232,03.1.2.02,IMPOSTOS S/VENDAS E SERVIÇOS,Receita serviços
2240,2240,03.1.2.02.001,ICMS sobre vendas,Receita Total
2259,2259,03.1.2.02.002,PIS sobre vendas e serviços,Receita serviços
2267,2267,03.1.2.02.003,COFINS sobre vendas e serviços,Receita serviços
2275,2275,03.1.2.02.004,Contribuição social sobre vendas e serviços,Receita serviços
2283,2283,03.1.2.02.005,IPI sobre vendas e serviços,Receita serviços
2291,2291,03.1.2.02.006,Simples sobre vendas e serviços,Receita serviços
